second	Volt	unc_seconds	unc_Volt
0.000135	0.170603	1e-16	0.002559045
0.000136	0.170603	1e-16	0.002559045
0.000137	0.130402	1e-16	0.0019560299999999
0.000138	0.090201	1e-16	0.001353015
0.000139	0.090201	1e-16	0.001353015
0.00014	0.05	1e-16	0.00075
0.000141	0.05	1e-16	0.00075
0.000142	0.009799	1e-16	0.000146985
0.000143	0.009799	1e-16	0.000146985
0.000144	-0.030402	1e-16	0.0004560299999999
0.000145	-0.070603	1e-16	0.001059045
0.000146	-0.070603	1e-16	0.001059045
0.000147	-0.070603	1e-16	0.001059045
0.000148	-0.110804	1e-16	0.00166206
0.000149	-0.151005	1e-16	0.002265075
0.00015	-0.151005	1e-16	0.002265075
0.000151	-0.191206	1e-16	0.00286809
0.000152	-0.191206	1e-16	0.00286809
0.000153	-0.191206	1e-16	0.00286809
0.000154	-0.231407	1e-16	0.003471105
0.000155	-0.271608	1e-16	0.00407412
0.000156	-0.271608	1e-16	0.00407412
0.000157	-0.311809	1e-16	0.004677135
0.000158	-0.311809	1e-16	0.004677135
0.000159	-0.35201	1e-16	0.00528015
0.00016	-0.35201	1e-16	0.00528015
0.000161	-0.392211	1e-16	0.0058831649999999
0.000162	-0.392211	1e-16	0.0058831649999999
0.000163	-0.392211	1e-16	0.0058831649999999
0.000164	-0.392211	1e-16	0.0058831649999999
0.000165	-0.432412	1e-16	0.00648618
0.000166	-0.472613	1e-16	0.0070891949999999
0.000167	-0.472613	1e-16	0.0070891949999999
0.000168	-0.512814	1e-16	0.00769221
0.000169	-0.512814	1e-16	0.00769221
0.00017	-0.553015	1e-16	0.008295225
0.000171	-0.512814	1e-16	0.00769221
0.000172	-0.593216	1e-16	0.00889824
0.000173	-0.553015	1e-16	0.008295225
0.000174	-0.553015	1e-16	0.008295225
0.000175	-0.593216	1e-16	0.00889824
0.000176	-0.633417	1e-16	0.009501255
0.000177	-0.633417	1e-16	0.009501255
0.000178	-0.673618	1e-16	0.01010427
0.000179	-0.673618	1e-16	0.01010427
0.00018	-0.673618	1e-16	0.01010427
0.000181	-0.713819	1e-16	0.0107072849999999
0.000182	-0.673618	1e-16	0.01010427
0.000183	-0.75402	1e-16	0.0113103
0.000184	-0.713819	1e-16	0.0107072849999999
0.000185	-0.794221	1e-16	0.0119133149999999
0.000186	-0.75402	1e-16	0.0113103
0.000187	-0.794221	1e-16	0.0119133149999999
0.000188	-0.794221	1e-16	0.0119133149999999
0.000189	-0.75402	1e-16	0.0113103
0.00019	-0.794221	1e-16	0.0119133149999999
0.000191	-0.794221	1e-16	0.0119133149999999
0.000192	-0.834422	1e-16	0.0125163299999999
0.000193	-0.794221	1e-16	0.0119133149999999
0.000194	-0.834422	1e-16	0.0125163299999999
0.000195	-0.834422	1e-16	0.0125163299999999
0.000196	-0.834422	1e-16	0.0125163299999999
0.000197	-0.834422	1e-16	0.0125163299999999
0.000198	-0.834422	1e-16	0.0125163299999999
0.000199	-0.834422	1e-16	0.0125163299999999
0.0002	-0.874623	1e-16	0.013119345
0.000201	-0.874623	1e-16	0.013119345
0.000202	-0.874623	1e-16	0.013119345
0.000203	-0.874623	1e-16	0.013119345
0.000204	-0.874623	1e-16	0.013119345
0.000205	-0.914824	1e-16	0.01372236
0.000206	-0.914824	1e-16	0.01372236
0.000207	-0.914824	1e-16	0.01372236
0.000208	-0.874623	1e-16	0.013119345
0.000209	-0.914824	1e-16	0.01372236
0.00021	-0.914824	1e-16	0.01372236
0.000211	-0.914824	1e-16	0.01372236
0.000212	-0.914824	1e-16	0.01372236
0.000213	-0.955025	1e-16	0.014325375
0.000214	-0.955025	1e-16	0.014325375
0.000215	-0.914824	1e-16	0.01372236
0.000216	-0.914824	1e-16	0.01372236
0.000217	-0.914824	1e-16	0.01372236
0.000218	-0.874623	1e-16	0.013119345
0.000219	-0.874623	1e-16	0.013119345
0.00022	-0.874623	1e-16	0.013119345
0.000221	-0.914824	1e-16	0.01372236
0.000222	-0.874623	1e-16	0.013119345
0.000223	-0.874623	1e-16	0.013119345
0.000224	-0.874623	1e-16	0.013119345
0.000225	-0.874623	1e-16	0.013119345
0.000226	-0.874623	1e-16	0.013119345
0.000227	-0.874623	1e-16	0.013119345
0.000228	-0.874623	1e-16	0.013119345
0.000229	-0.834422	1e-16	0.0125163299999999
0.00023	-0.874623	1e-16	0.013119345
0.000231	-0.794221	1e-16	0.0119133149999999
0.000232	-0.834422	1e-16	0.0125163299999999
0.000233	-0.794221	1e-16	0.0119133149999999
0.000234	-0.794221	1e-16	0.0119133149999999
0.000235	-0.794221	1e-16	0.0119133149999999
0.000236	-0.794221	1e-16	0.0119133149999999
0.000237	-0.75402	1e-16	0.0113103
0.000238	-0.75402	1e-16	0.0113103
0.000239	-0.794221	1e-16	0.0119133149999999
0.00024	-0.75402	1e-16	0.0113103
0.000241	-0.713819	1e-16	0.0107072849999999
0.000242	-0.75402	1e-16	0.0113103
0.000243	-0.75402	1e-16	0.0113103
0.000244	-0.713819	1e-16	0.0107072849999999
