second	Volt	unc_seconds	unc_Volt
0.0	0.693216	1e-12	0.01039824
9.999999999999e-07	0.331407	1e-19	0.004971105
2e-06	0.170603	1e-18	0.002559045
3e-06	0.210804	1e-18	0.00316206
4e-06	0.45201	1e-18	0.00678015
5e-06	0.612814	1e-18	0.00919221
6e-06	0.653015	1e-18	0.009795225
7e-06	0.693216	1e-18	0.01039824
8e-06	0.85402	1e-18	0.0128103
9e-06	0.934422	1e-18	0.0140163299999999
1e-05	1.01482	1e-17	0.0152223
1.1e-05	1.09523	1e-17	0.0164284499999999
1.2e-05	1.21583	1e-17	0.01823745
1.3e-05	1.29623	1e-17	0.0194434499999999
1.4e-05	1.33643	1e-17	0.02004645
1.5e-05	1.41683	1e-17	0.02125245
1.6e-05	1.53744	1e-17	0.0230615999999999
1.7e-05	1.57764	1e-17	0.0236645999999999
1.8e-05	1.61784	1e-17	0.0242675999999999
1.9e-05	1.65804	1e-17	0.0248706
2e-05	1.73844	1e-17	0.0260766
2.1e-05	1.81884	1e-17	0.0272826
2.2e-05	1.85905	1e-17	0.02788575
2.3e-05	1.85905	1e-17	0.02788575
2.4e-05	1.93945	1e-17	0.0290917499999999
2.5e-05	1.97965	1e-17	0.02969475
2.6e-05	1.97965	1e-17	0.02969475
2.7e-05	2.01985	1e-17	0.03029775
2.8e-05	2.06005	1e-17	0.0309007499999999
2.9e-05	2.06005	1e-17	0.0309007499999999
3e-05	2.06005	1e-17	0.0309007499999999
3.1e-05	2.06005	1e-17	0.0309007499999999
3.2e-05	2.06005	1e-17	0.0309007499999999
3.3e-05	2.06005	1e-17	0.0309007499999999
3.4e-05	2.06005	1e-17	0.0309007499999999
3.5e-05	2.01985	1e-17	0.03029775
3.6e-05	2.01985	1e-17	0.03029775
3.7e-05	2.06005	1e-17	0.0309007499999999
3.8e-05	1.97965	1e-17	0.02969475
3.9e-05	1.97965	1e-17	0.02969475
4e-05	1.97965	1e-17	0.02969475
4.1e-05	1.89925	1e-17	0.02848875
4.2e-05	1.89925	1e-17	0.02848875
4.3e-05	1.81884	1e-17	0.0272826
4.4e-05	1.77864	1e-17	0.0266795999999999
4.5e-05	1.73844	1e-17	0.0260766
4.6e-05	1.65804	1e-17	0.0248706
4.7e-05	1.65804	1e-17	0.0248706
4.8e-05	1.57764	1e-17	0.0236645999999999
4.9e-05	1.49724	1e-17	0.0224586
5e-05	1.45704	1e-17	0.0218555999999999
5.1e-05	1.41683	1e-17	0.02125245
